iter	Passed	Remaining
719	1672	650
720	1674	647
721	1676	645
722	1678	642
723	1679	640
724	1681	637
725	1684	635
726	1702	639
727	1705	637
728	1707	634
729	1709	632
730	1711	629
731	1712	627
732	1714	624
733	1717	622
734	1719	619
735	1720	617
736	1722	614
737	1724	612
738	1726	609
739	1728	607
740	1730	604
741	1732	602
742	1734	599
743	1736	597
744	1738	595
745	1740	592
746	1741	589
747	1743	587
748	1746	585
749	1748	582
750	1750	580
751	1752	577
752	1753	575
753	1755	572
754	1757	570
755	1760	568
756	1762	565
757	1763	563
758	1765	560
759	1767	558
760	1769	555
761	1771	553
762	1773	550
763	1775	548
764	1777	546
765	1779	543
766	1781	541
767	1783	538
768	1784	536
769	1786	533
770	1788	531
771	1790	528
772	1792	526
773	1794	523
774	1795	521
775	1797	518
776	1799	516
777	1801	513
778	1803	511
779	1805	509
780	1806	506
781	1808	504
782	1809	501
783	1811	499
784	1813	496
785	1814	494
786	1816	491
787	1818	489
788	1820	486
789	1822	484
790	1824	481
791	1825	479
792	1827	476
793	1828	474
794	1830	472
795	1833	469
796	1835	467
797	1837	465
798	1839	462
799	1842	460
800	1844	458
801	1846	455
802	1848	453
803	1850	451
804	1852	448
805	1855	446
806	1858	444
807	1859	441
808	1861	439
809	1864	437
810	1866	435
811	1870	432
812	1871	430
813	1873	428
814	1876	425
815	1878	423
816	1880	421
817	1882	418
818	1885	416
819	1888	414
820	1893	412
821	1896	410
822	1898	408
823	1900	405
824	1901	403
825	1903	401
826	1905	398
827	1907	396
828	1910	393
829	1911	391
830	1913	389
831	1915	386
832	1917	384
833	1919	381
834	1922	379
835	1924	377
836	1925	375
837	1927	372
838	1929	370
839	1931	367
840	1933	365
841	1935	363
842	1936	360
843	1938	358
844	1940	355
845	1941	353
846	1943	351
847	1945	348
848	1947	346
849	1949	344
850	1951	341
851	1953	339
852	1954	336
853	1955	334
854	1957	331
855	1958	329
856	1960	327
857	1961	324
858	1963	322
859	1965	319
860	1966	317
861	1968	315
862	1969	312
863	1970	310
864	1972	307
865	1973	305
866	1975	302
867	1976	300
868	1977	298
869	1979	295
870	1981	293
871	1983	291
872	1985	288
873	1987	286
874	1988	284
875	1990	281
876	1992	279
877	1994	277
878	1996	274
879	1998	272
880	2000	270
881	2002	267
882	2003	265
883	2005	263
884	2007	260
885	2009	258
886	2011	256
887	2012	253
888	2014	251
889	2016	249
890	2018	246
891	2019	244
892	2021	242
893	2023	239
894	2024	237
895	2026	235
896	2028	232
897	2029	230
898	2031	228
899	2033	225
900	2034	223
901	2036	221
902	2038	218
903	2040	216
904	2042	214
905	2044	212
906	2045	209
907	2047	207
908	2048	205
909	2050	202
910	2053	200
911	2054	198
912	2056	195
913	2058	193
914	2059	191
915	2061	189
916	2063	186
917	2064	184
918	2066	182
919	2068	179
920	2070	177
921	2074	175
922	2076	173
923	2081	171
924	2083	168
925	2085	166
926	2087	164
927	2089	162
928	2091	159
929	2093	157
930	2095	155
931	2097	153
932	2098	150
933	2100	148
934	2102	146
935	2103	143
936	2105	141
937	2107	139
938	2109	137
939	2111	134
940	2114	132
941	2116	130
942	2119	128
943	2120	125
944	2123	123
945	2126	121
946	2128	119
947	2130	116
948	2132	114
949	2134	112
950	2136	110
951	2139	107
952	2141	105
953	2143	103
954	2145	101
955	2147	98
956	2149	96
957	2153	94
958	2155	92
959	2157	89
960	2159	87
961	2161	85
962	2162	83
963	2165	80
964	2167	78
965	2169	76
966	2171	74
967	2173	71
968	2175	69
969	2177	67
970	2179	65
971	2181	62
972	2183	60
973	2185	58
974	2187	56
975	2188	53
976	2190	51
977	2192	49
978	2193	47
979	2195	44
980	2197	42
981	2199	40
982	2200	38
983	2202	35
984	2204	33
985	2205	31
986	2207	29
987	2209	26
988	2211	24
989	2213	22
990	2215	20
991	2216	17
992	2218	15
993	2220	13
994	2222	11
995	2224	8
996	2226	6
997	2228	4
998	2229	2
999	2231	0
